Question_ID,section,subsection,question,section#
1,1. Overview,1.1 Descriptive full-text title,Provide a descriptive title using normal language without technical terms or acronyms.,1.
2,1. Overview,1.2 Abstract,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,1.
3,1. Overview,1.2 Abstract,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",1.
4,1. Overview,1.2 Abstract,Which test system and readout(s) are used? (4.1; 5.2),1.
5,1. Overview,1.2 Abstract,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",1.
6,1. Overview,1.2 Abstract,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),1.
7,1. Overview,1.2 Abstract,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),1.
8,1. Overview,1.2 Abstract,Does the test method capture an endpoint of current regulatory studies? (9.5),1.
9,1. Overview,1.2 Abstract,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",1.
10,2. General information,2.1 Name of test method,"Provide the original/published name, as well as the potential tradename.",2.
11,2. General information,2.2 Version number and date of deposition,Provide the original deposition date of first version and date of current version.,2.
12,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),"This only applies to updated versions. If this is the original version, state 'original version'.",2.
13,2. General information,2.4 Assigned data base name,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",2.
14,2. General information,2.5 Name and acronym of the test depositor,Include affiliation.,2.
15,2. General information,2.6 Name and email of contact person,Provide the details of the principal contact person.,2.
16,2. General information,2.7 Name of further persons involved,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",2.
17,2. General information,2.8 Reference to additional files of relevance,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",2.
18,3. Description of general features of the test system source,3.1 Supply of source cells,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",3.
19,3. Description of general features of the test system source,3.2 Overview of cell source component(s),"Give a brief overview of your biological source system, i.e. the source or starting cells that you use. Which cell type(s) are used or obtained (e.g. monoculture/co-culture, differentiation state, 2D/3D, etc.)? If relevant, give human donor specifications (e.g. sex, age, pool of 10 donors, from healthy tissue, etc.).",3.
20,3. Description of general features of the test system source,3.3 Characterization and definition of source cells,"List quantitative and semi-quantitative features that define your cell source/starting cell population. For test methods that are based on differentiation, describe your initial cells, e.g. iPSC, proliferating SH-SY5Y; the differentiated cells are described in section 4. Define cell identity, e.g. by STR signature (where available), karyotype information, sex (where available and relevant), ATCC number, passage number, source (supplier), sub-line (where relevant), source of primary material, purity of the cells, etc. Describe defining biological features you have measured or that are FIRMLY established (use simple listing, limit to max. 0.5 pages), e.g. the cells express specific marker genes, have specific surface antigens, lack certain markers, have or lack a relevant metabolic or transporting capacity, have a doubling time of x hours, etc. Transgenic cell lines have particular requirements concerning the characterization of the genetic manipulation (type of transgene, type of vector, integration/deletion site(s), stability, etc.). Organoids and microphysiological systems (MPS) may need some special/additional considerations as detailed in Pamies et al. (2018) and Marx et al. (2016), e.g. ratio of cell types used, percent of normal cells in tumor spheroids created from resected tissue; derivation of cells for re-aggregating brain cultures.",3.
21,3. Description of general features of the test system source,3.4 Acceptance criteria for source cell population,"Describe the acceptance criteria (AC) for your initial cells (i.e. the quality criteria for your proliferating cell line, tissue for isolation, organism, etc.). Which specifications do you consider to describe the material, which quality control criteria have to be fulfilled (e.g. pathogen-free)? Which functional parameters (e.g. certain biological responses to reference substances) are important? For iPSC maintenance: How do you control pluripotency? How stable are your cells over several passages? Which passage(s) are valid? For primary cells: Show stability and identity of supply; demonstrate stability of function (e.g. xenobiotic metabolism). Quantitative definitions for AC should be given based on this defining information. Exclusion criteria (features to be absent) are also important. As in 3.3., special/additional requirements apply to genetically-modified cells and microphysiological systems.",3.
22,3. Description of general features of the test system source,3.5 Variability and troubleshooting of source cells,"Name known causes of variability of the initial cells/source cells. Indicate critical consumables or batch effects (e.g. relevance of the plate format and supplier, batch effects of fetal calf serum (FCS) or serum replacement, critical additives like type of trypsin, apo-transferrin vs. holo-transferrin, etc.). Indicate critical handling steps and influencing factors (e.g. special care needed in pipetting, steps that need to be performed quickly, cell density, washing procedures, etc.). As in 3.3., special/additional requirements apply to genetically-modified cells and microphysiological systems, e.g. dependence on matrix chemistry and geometry, dependence on microfluidics system, consideration of surface cells vs core cells, etc. Give recommendations to increase/ensure reproducibility and performance.",3.
23,3. Description of general features of the test system source,3.6 Differentiation towards the final test system,"Describe the principles of the selected differentiation protocol, including a scheme and graphical overview, indicating all phases, media, substrates, manipulation steps (medium change/re-plating, medium additives, etc.). Special/additional requirements apply to microphysiological systems and organoids: e.g. cell printing, self-aggregation/self-organisation process, interaction with the matrix, geometrical characterization (size/shape), etc.",3.
