,Unnamed: 0,section,subsection,question,section#,section_short,Question_ID2,colour,model,answer_given,cos_similarity,answer_ability,answer_freq_delta
1,0,1. Overview,1.1 Descriptive full-text title,Provide a descriptive title using normal language without technical terms or acronyms.,1.0,Overview,1,blue,gpt-4.1-nano,0.75,0.5405198350645801,high,-0.1875
2,0,1. Overview,1.1 Descriptive full-text title,Provide a descriptive title using normal language without technical terms or acronyms.,1.0,Overview,1,blue,gpt-4o-mini,1.0,0.6612636292789063,high,0.0625
3,0,1. Overview,1.1 Descriptive full-text title,Provide a descriptive title using normal language without technical terms or acronyms.,1.0,Overview,1,blue,gpt-5-mini,1.0,0.7426126880677357,high,0.0625
4,0,1. Overview,1.1 Descriptive full-text title,Provide a descriptive title using normal language without technical terms or acronyms.,1.0,Overview,1,blue,o3-mini,1.0,0.6906281139838333,high,0.0625
5,2,1. Overview,1.2 Abstract,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",1.0,Overview,3,green,gpt-4.1-nano,1.0,0.40732852797806207,high,0.0
6,2,1. Overview,1.2 Abstract,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",1.0,Overview,3,green,gpt-4o-mini,1.0,0.40275322624514764,high,0.0
7,2,1. Overview,1.2 Abstract,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",1.0,Overview,3,green,gpt-5-mini,1.0,0.37444187307942467,high,0.0
8,2,1. Overview,1.2 Abstract,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",1.0,Overview,3,green,o3-mini,1.0,0.48184868665425434,high,0.0
9,3,1. Overview,1.2 Abstract,Which test system and readout(s) are used? (4.1; 5.2),1.0,Overview,4,green,gpt-4.1-nano,1.0,0.8845563328366028,high,0.0
10,3,1. Overview,1.2 Abstract,Which test system and readout(s) are used? (4.1; 5.2),1.0,Overview,4,green,gpt-4o-mini,1.0,0.8608830005474524,high,0.0
11,3,1. Overview,1.2 Abstract,Which test system and readout(s) are used? (4.1; 5.2),1.0,Overview,4,green,gpt-5-mini,1.0,0.7924275900660634,high,0.0
12,3,1. Overview,1.2 Abstract,Which test system and readout(s) are used? (4.1; 5.2),1.0,Overview,4,green,o3-mini,1.0,0.8571571445553422,high,0.0
13,4,1. Overview,1.2 Abstract,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",1.0,Overview,5,green,gpt-4.1-nano,1.0,0.7333401554406173,high,0.0
14,4,1. Overview,1.2 Abstract,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",1.0,Overview,5,green,gpt-4o-mini,1.0,0.6763506707157527,high,0.0
15,4,1. Overview,1.2 Abstract,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",1.0,Overview,5,green,gpt-5-mini,1.0,0.6710926624992588,high,0.0
16,4,1. Overview,1.2 Abstract,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",1.0,Overview,5,green,o3-mini,1.0,0.7322354382483562,high,0.0
17,5,1. Overview,1.2 Abstract,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),1.0,Overview,6,green,gpt-4.1-nano,1.0,0.4016552740185214,high,0.0
18,5,1. Overview,1.2 Abstract,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),1.0,Overview,6,green,gpt-4o-mini,1.0,0.35967386482989516,high,0.0
19,5,1. Overview,1.2 Abstract,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),1.0,Overview,6,green,gpt-5-mini,1.0,0.35634819937474316,high,0.0
20,5,1. Overview,1.2 Abstract,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),1.0,Overview,6,green,o3-mini,1.0,0.39601042389416874,high,0.0
21,6,1. Overview,1.2 Abstract,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),1.0,Overview,7,green,gpt-4.1-nano,1.0,0.5804454628654321,high,0.0
22,6,1. Overview,1.2 Abstract,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),1.0,Overview,7,green,gpt-4o-mini,1.0,0.5500770689657025,high,0.0
23,6,1. Overview,1.2 Abstract,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),1.0,Overview,7,green,gpt-5-mini,1.0,0.46944582942307334,high,0.0
24,6,1. Overview,1.2 Abstract,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),1.0,Overview,7,green,o3-mini,1.0,0.5385334955928069,high,0.0
25,7,1. Overview,1.2 Abstract,Does the test method capture an endpoint of current regulatory studies? (9.5),1.0,Overview,8,green,gpt-4.1-nano,0.0,0.237761386727426,low,-0.75
26,7,1. Overview,1.2 Abstract,Does the test method capture an endpoint of current regulatory studies? (9.5),1.0,Overview,8,green,gpt-4o-mini,1.0,0.2659476553609484,high,0.25
27,7,1. Overview,1.2 Abstract,Does the test method capture an endpoint of current regulatory studies? (9.5),1.0,Overview,8,green,gpt-5-mini,1.0,0.2547732786821947,high,0.25
28,7,1. Overview,1.2 Abstract,Does the test method capture an endpoint of current regulatory studies? (9.5),1.0,Overview,8,green,o3-mini,1.0,0.2412618826174755,high,0.25
29,8,1. Overview,1.2 Abstract,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",1.0,Overview,9,green,gpt-4.1-nano,1.0,0.6580535493797137,high,0.0
30,8,1. Overview,1.2 Abstract,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",1.0,Overview,9,green,gpt-4o-mini,1.0,0.49581683617189976,high,0.0
31,8,1. Overview,1.2 Abstract,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",1.0,Overview,9,green,gpt-5-mini,1.0,0.4536232423269634,high,0.0
32,8,1. Overview,1.2 Abstract,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",1.0,Overview,9,green,o3-mini,1.0,0.6406144060352231,high,0.0
33,9,2. General information,2.1 Name of test method,"Provide the original/published name, as well as the potential tradename.",2.0,General information,10,blue,gpt-4.1-nano,0.625,0.48095575402535673,medium,-0.15625
34,9,2. General information,2.1 Name of test method,"Provide the original/published name, as well as the potential tradename.",2.0,General information,10,blue,gpt-4o-mini,0.875,0.630634026473468,high,0.09375
35,9,2. General information,2.1 Name of test method,"Provide the original/published name, as well as the potential tradename.",2.0,General information,10,blue,gpt-5-mini,0.625,0.7019641893379064,medium,-0.15625
36,9,2. General information,2.1 Name of test method,"Provide the original/published name, as well as the potential tradename.",2.0,General information,10,blue,o3-mini,1.0,0.6828189815487691,high,0.21875
37,10,2. General information,2.2 Version number and date of deposition,Provide the original deposition date of first version and date of current version.,2.0,General information,11,blue,gpt-4.1-nano,1.0,0.5407870814096141,high,0.03125
38,10,2. General information,2.2 Version number and date of deposition,Provide the original deposition date of first version and date of current version.,2.0,General information,11,blue,gpt-4o-mini,1.0,0.595147521391393,high,0.03125
39,10,2. General information,2.2 Version number and date of deposition,Provide the original deposition date of first version and date of current version.,2.0,General information,11,blue,gpt-5-mini,0.875,0.638538171456857,high,-0.09375
40,10,2. General information,2.2 Version number and date of deposition,Provide the original deposition date of first version and date of current version.,2.0,General information,11,blue,o3-mini,1.0,0.6254249603192636,high,0.03125
41,11,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),"This only applies to updated versions. If this is the original version, state 'original version'.",2.0,General information,12,blue,gpt-4.1-nano,0.0,0.1717441958268337,low,-0.75
42,11,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),"This only applies to updated versions. If this is the original version, state 'original version'.",2.0,General information,12,blue,gpt-4o-mini,1.0,0.3813266333557804,high,0.25
43,11,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),"This only applies to updated versions. If this is the original version, state 'original version'.",2.0,General information,12,blue,gpt-5-mini,1.0,0.30319084559072135,high,0.25
44,11,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),"This only applies to updated versions. If this is the original version, state 'original version'.",2.0,General information,12,blue,o3-mini,1.0,0.36565167165327317,high,0.25
45,12,2. General information,2.4 Assigned data base name,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",2.0,General information,13,blue,gpt-4.1-nano,0.875,0.5851308309040772,high,0.03125
46,12,2. General information,2.4 Assigned data base name,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",2.0,General information,13,blue,gpt-4o-mini,0.5,0.436208342569511,medium,-0.34375
47,12,2. General information,2.4 Assigned data base name,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",2.0,General information,13,blue,gpt-5-mini,1.0,0.6700079238384492,high,0.15625
48,12,2. General information,2.4 Assigned data base name,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",2.0,General information,13,blue,o3-mini,1.0,0.5135808160295885,high,0.15625
49,13,2. General information,2.5 Name and acronym of the test depositor,Include affiliation.,2.0,General information,14,blue,gpt-4.1-nano,0.5,0.24956967813356734,medium,-0.3125
