,section,section_short,subsection,qID,question,doc_type,colour,answer_given
0,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,abstract,blue,1.0
1,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,article,blue,0.8923076923076924
2,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,combined,blue,0.9777777777777777
3,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,dmp,blue,0.75
4,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,insilico_data,blue,0.8
5,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,meta_data,blue,0.84
6,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,oecd_testguideline,blue,0.8
7,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,poster,blue,0.6
8,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,processed_data,blue,0.8
9,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,protocol,blue,0.9801980198019802
10,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,sop,blue,0.95
11,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,supplementary_article,blue,0.8
12,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,toxtemp,blue,1.0
13,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,abstract,green,1.0
14,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,article,green,0.9692307692307692
15,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,combined,green,0.9777777777777777
16,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,dmp,green,0.425
17,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,insilico_data,green,0.2
18,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,meta_data,green,0.6
19,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,oecd_testguideline,green,1.0
20,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,poster,green,0.5
21,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,processed_data,green,0.8666666666666667
22,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,protocol,green,0.7227722772277227
23,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,sop,green,1.0
24,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,supplementary_article,green,1.0
25,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,toxtemp,green,1.0
26,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",abstract,green,0.9
27,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",article,green,0.8461538461538461
28,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",combined,green,0.9111111111111111
29,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",dmp,green,0.275
30,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",insilico_data,green,0.0
31,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",meta_data,green,0.6
32,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",oecd_testguideline,green,1.0
33,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",poster,green,0.3
