question,gtruth_answer,gtruth_answer_quality_score,gtruth_answer_quality_justification,llm_answer,cos_similarity,bert_precision,bert_recall,bert_f1
Provide a descriptive title using normal language without technical terms or acronyms.,Assay to test compound-derived impairment in mitochondrial respiration in human dopaminergic neurons (MitoStressLUHMES; MSL) – V1.0,Medium,"The title partially addresses the question by providing a descriptive title, but it includes technical terms and an acronym (MitoStressLUHMES; MSL), which the question specifically asks to avoid.",A laboratory method for evaluating how chemicals affect the energy production in human nerve cells that produce dopamine. (Source: MitoStressLUHMESassay(MSL).pdf),0.7527106379707026,0.5087621808052063,0.5192331075668335,0.5159319043159485
Please describe in no more than 200 words the following:,"This in vitro test method is based on human neurons (LUHMES cells) at a stage of neurite growth. It assesses disturbances in (a) the mitochondrial respiration in general, and (b) individual mitochondrial parameters, by exposure to toxicants. The oxygen consumption rate (OCR) and the extracellular acidification rate (ECAR) are measured simultaneously using a Seahorse XF Analyzer. Basal respiration, acute response to test compound, ATP production-coupled respiration, proton leak, maximal respiration, respiratory spare capacity and non-mitochondrial respiration are determined. The data of this method are meant to predict functional impairment of mitochondria. The method has not undergone formal validation and has not been part of a ring trial. It predicts some aspects of neurotoxicity, but not all aspects covered by an in vivo neurotoxicity study (TG424).",High,"The answer provides a comprehensive description of the in vitro test method, including the cell type used, the parameters measured, the equipment used, and the purpose of the method. It also mentions the limitations regarding validation and comparison to in vivo studies. This level of detail fully addresses the question within the word limit.","The MitoStressLUHMES assay (MSL) is an in vitro method that uses human dopaminergic LUHMES neurons to assess mitochondrial respiration impairment. LUHMES cells, originally derived from an 8‐week human fetal mesencephalon, are first maintained in proliferation medium and then induced to differentiate into neurons using tetracycline, GDNF, and db‐cAMP. On day 3 of differentiation, the cells are reseeded on coated Agilent Seahorse XFe24-well plates and switched to Seahorse assay medium prior to exposure. During the assay, the oxygen consumption rate (OCR) and extracellular acidification rate (ECAR) are recorded concurrently using a Seahorse XF Analyzer. Specific mitochondrial parameters are derived by sequentially injecting the test compound, oligomycin, FCCP, and a rotenone/antimycin A mix to measure basal respiration, acute response, ATP production, proton leak, maximal respiration, respiratory spare capacity, and non-mitochondrial respiration. The method offers mechanistic information on mitochondrial function as a potential key event in neurotoxicity and developmental neurotoxicity but has not yet undergone formal validation or ring trials. (Source: MitoStressLUHMESassay(MSL).pdf)",0.8140832033221032,0.4937206506729126,0.33921459317207336,0.4148313105106354
"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",,Low,No answer provided; treated as missing.,"The assay models mitochondrial respiration in human dopaminergic (central nervous system) neurons. In other words, it is designed to detect impairments in mitochondrial function—which is a key biochemical process in these neurons—that may indicate neurotoxicity. (Sources: EFSA NAMs Case Study on Tebufenpyrad, Part 2 – Annex A, Sections 1.1–1.2 & 8.1)",0.051517983180152514,-1.0699931383132935,-1.07051682472229,-1.0619372129440308
Which test system and readout(s) are used? (4.1; 5.2),,Low,No answer provided; treated as missing.,"The MSL assay uses differentiated human LUHMES cells (dopaminergic neurons) that are re-seeded onto coated Agilent Seahorse XFe24‐well plates (Section 4.1). The readouts are mitochondrial respiration endpoints assessed as oxygen consumption rate (OCR) measurements normalized to cell number. These endpoints include:  
• Acute response to the test compound  
• Basal respiration  
• ATP production‐coupled respiration  
• Proton leak  
• Maximal respiration  
• Respiratory spare capacity  
• Non‐mitochondrial respiration  
Additionally, a total cell count based on Hoechst staining is measured (Section 5.2).  
_(Sources: EFSA NAMs Case Study on Tebufenpyrad, Part 2 – Annex A, Sections 4.1 and 5.2)_",0.04849957389686451,-1.0699931383132935,-1.07051682472229,-1.0619372129440308
"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",,Low,No answer provided; treated as missing.,"The MSL test method is designed to model mitochondrial function in human dopaminergic neurons. It evaluates toxicological events related to compound‐induced impairment of mitochondrial respiration. In particular, it measures endpoints such as the acute change in oxygen consumption rate, basal respiration, ATP production–coupled respiration, proton leak, maximal respiration, respiratory spare capacity, and non‐mitochondrial respiration. Although the assay is performed using LUHMES cells already committed to a neuronal (dopaminergic) phenotype, its primary focus is on mitochondrial bioenergetics rather than on processes like neurite outgrowth. In doing so, the method reflects early toxic events (e.g. mitochondrial dysfunction that may lead to cell death) that are relevant for understanding neurotoxicity during neuronal differentiation and maturation. 

(Sources: MitoStressLUHMESassay(MSL).pdf)",0.03259327633186475,-1.0699931383132935,-1.07051682472229,-1.0619372129440308
To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),,Low,No answer provided; treated as missing.,"The assay is designed to detect compound‐induced impairment of mitochondrial function in human dopaminergic neurons—a key cellular process whose disruption can be a critical event in neurotoxicity. In this context, the test method is intended to inform on hazards for developmental neurotoxicity by identifying mitochondrial dysfunction at an early neuronal stage. Furthermore, as highlighted in the related sections of the documents, inhibition of mitochondrial complex I (and associated dysfunction) has been linked via AOPs to pathological changes in the nigrostriatal system that can lead to parkinsonian motor deficits. In summary, the assay is related to adverse outcomes that include developmental neurotoxicity and neurodegenerative conditions such as Parkinson’s disease.  
(Sources: MitoStressLUHMESassay(MSL).pdf – Sections 8.1, 9.2, 9.3)",0.02074062040125488,-1.0699931383132935,-1.07051682472229,-1.0619372129440308
Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),,Low,No answer provided; treated as missing.,"The assay is designed to identify compounds that impair mitochondrial respiration in human dopaminergic neurons at an early developmental stage—an effect that is considered a key event for developmental neurotoxicity. In other words, the test method potentially predicts hazards associated with neurodevelopmental toxicity resulting from mitochondrial dysfunction. (Sources: MitoStressLUHMESassay(MSL).pdf sections 8.1, 8.6)",0.028135099024412268,-1.0699931383132935,-1.07051682472229,-1.0619372129440308
Does the test method capture an endpoint of current regulatory studies? (9.5),,Low,No answer provided; treated as missing.,"No, the assay does not capture an endpoint from current regulatory studies. In section 9.5 of the document it is stated that the test is not linked to (e.g., OECD) regulatory guidelines, meaning that it does not cover the endpoints typically required in current regulatory testing (Sources: MitoStressLUHMESassay(MSL).pdf).",0.033279119010557565,-1.0699931383132935,-1.07051682472229,-1.0619372129440308
"If the method has undergone some form of validation/evaluation, give its status. (9.4)",,Low,No answer provided; treated as missing.,There is no formal validation study for this method – it has not undergone a formal OECD 34 validation procedure or been subject to a ring trial. (Source: MitoStressLUHMESassay(MSL).pdf),0.0501331972381276,-1.0699931383132935,-1.07051682472229,-1.0619372129440308
"Provide the original/published name, as well as the potential tradename.","MitoStressLUHMES, MSL",High,"The answer fully addresses the question by providing both the original/published name 'MitoStressLUHMES' and the potential tradename 'MSL', which are the required details.",The published full-text name is “Assay to test compound-derived impairment in mitochondrial respiration in human dopaminergic neurons (MitoStressLUHMES; MSL) – V1.0” and the potential tradename is “MSL_Neuro_LUH_mito_acute” _(Source: MitoStressLUHMESassay(MSL).pdf)_.,0.6548627722394512,0.15829315781593323,-0.21426019072532654,-0.056940726935863495
Provide the original deposition date of first version and date of current version.,This is Version 1.0 of the protocol “Assay to test compound-derived impairment in mitochondrial respiration in human dopaminergic neurons (MitoStressLUHMES; MSL) – V1.0”. It was assembled in September 2022.,Medium,The answer provides the date of the current version (September 2022) but does not specify the original deposition date if it differs from the current version date. It partially addresses the question but lacks completeness.,Both the original and the current version are Version 1.0 and were deposited in September 2022. (Sources: MitoStressLUHMESassay(MSL).pdf),0.7265701567166954,0.32350021600723267,0.4339462220668793,0.3791102468967438
"This only applies to updated versions. If this is the original version, state 'original version'.",There are no previous versions available,High,"The answer clearly indicates that there are no previous versions, implying that this is the original version, which directly addresses the question.","The assay is the original version. (Source: MitoStressLUHMESassay(MSL).pdf, sections 2.2 and 2.3)",0.1952315583007541,0.05426255986094475,-0.3481188714504242,-0.1858934611082077
"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",MSL_Neuro_LUH_mito_acute.,Medium,"The answer provides a unique database name, but it lacks clarity on how this name is clearly and uniquely defined within the context of the method. Additional context or explanation would improve completeness.","According to the protocol, plain text names are not sufficient for unambiguous identification. Instead, each assay is given a unique database name assembled from several defined elements. For example, the name is constructed from the depositing partner’s acronym, a consecutive number, an optional sub‐specifier (if there are variants), a brief indication of the assay’s intended use (e.g. Neuro for neuronal), a specifier for the test system (such as LUH for LUHMES cells), an indication of the endpoint (e.g. mito for mitochondrial), and the version number. In the MSL assay, this results in the name “MSL_Neuro_LUH_mito_acute.” This approach ensures that the assay can be clearly and uniquely identified in databases and communications. (Source: MitoStressLUHMESassay(MSL).pdf)",0.5126482655917999,0.3007226884365082,-0.32146283984184265,-0.09713710844516754
Include affiliation.,"University of Konstanz (UKN), Germany",High,"The answer fully addresses the question by providing the affiliation, which is the University of Konstanz in Germany. It is relevant and complete as it specifies both the institution and the country.","The assay is deposited by the University of Konstanz (UKN), Germany. This affiliation is explicitly listed under “2.5 Name and acronym of the test depositor” with the contact provided as Prof. Dr. Marcel Leist (marcel.leist@uni-konstanz.de, Tel: +49-7531885037), and additional staff such as Anna-Katharina Ückert and Mahshid Alimohammadi are also involved. (Source: MitoStressLUHMESassay(MSL).pdf)",0.36144148908613205,0.6933988332748413,-0.17868255078792572,0.11782657355070114
Provide the details of the principal contact person.,Prof. Dr. Marcel Leist marcel.leist@uni-konstanz.de Tel: +49-7531885037,High,"The answer fully addresses the question by providing the name, email, and telephone number of the principal contact person, which are the key details required.",The principal contact person is Prof. Dr. Marcel Leist. His email address is marcel.leist@uni-konstanz.de and his telephone number is +49-7531885037. (Source: MitoStressLUHMESassay(MSL).pdf),0.7114971350703281,0.8144847750663757,0.37602347135543823,0.5681803226470947
"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.","Anna-Katharina Ückert (PhD student, experimenter) anna-katharina.ueckert@uni-konstanz.de Mahshid Alimohammadi (PhD student, experimenter) mahshid.alimohammadi@uni-konstanz.de",High,"The answer provides specific names and roles of individuals involved in the experiments, along with their contact information, which fully addresses the question about identifying the principal investigator or experimenters.","The document indicates that the principal investigator is Prof. Dr. Marcel Leist (contact: marcel.leist@uni-konstanz.de, Tel: +49‑7531885037), and that the experiments were primarily conducted by PhD students Anna‑Katharina Ückert (anna-katharina.ueckert@uni-konstanz.de) and Mahshid Alimohammadi (mahshid.alimohammadi@uni-konstanz.de) (Source: MitoStressLUHMESassay(MSL).pdf).",0.6528009098909408,0.4978087544441223,0.24885670840740204,0.3651898503303528
"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",- Raw data file - Internal SOP - Official User Guide,Medium,"The answer lists some supporting files but does not specify the number of files or provide detailed descriptions of each file type, such as metadata files or instrument settings.","The assay documentation indicates three main supporting files accompany the assay materials. These are: 

1. A raw data file that contains the Seahorse XF Analyzer’s output (stored as a “Wave Assay Result” file in .asyr format) together with its metadata (including instrument settings and calibration data).  
2. An internal Standard Operating Procedure (SOP) that details the experimental protocols, including cell culture, assay execution, instrument use, and troubleshooting procedures.  
3. An Official User Guide which also provides additional details such as calculation templates (e.g. for Excel and GraphPad Prism data analysis), instructions for data processing (curve fitting, normalization, etc.), and other instrument setup information.

_(Sources: MitoStressLUHMESassay(MSL).pdf)_",0.5671358610299061,0.2989821434020996,-0.19116510450839996,0.004581259097903967
"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).","The LUHMES cells have been brought from Lund (Sweden) to Konstanz in 2006 (Lotharius et al., 2005) and a masterstock has been frozen. The cells used for the test method are continuously generated by cell culture. Approximately every 4-5 years, a vial from the cell masterstock is thawed and extensively expanded. These cells are then frozen as working stock. A new cell batch is thawed every 4 weeks from this working stock; cells are cultured until passage 20-25.",High,"The answer fully addresses the question by specifying that the cells are continuously generated by cell culture. It provides detailed information about the origin, maintenance, and usage of the cells, including the process of thawing and expanding the masterstock and working stock, which is relevant and complete.","The cells used in the assay are continuously generated by cell culture from a frozen masterstock. These LUHMES cells were originally derived from a human fetal tissue (mesencephalon) but are not freshly isolated from tissue for each experiment; instead, a vial from the masterstock is thawed, expanded, and then maintained as working stock for subsequent experiments.  
_(Sources: MitoStressLUHMESassay(MSL).pdf – sections 3.1 and 3.3)_",0.7981508591157214,0.25942540168762207,0.20223470032215118,0.23330241441726685
"Give a brief overview of your biological source system, i.e. the source or starting cells that you use. Which cell type(s) are used or obtained (e.g. monoculture/co-culture, differentiation state, 2D/3D, etc.)? If relevant, give human donor specifications (e.g. sex, age, pool of 10 donors, from healthy tissue, etc.).","LUHMES cell line LUHMES cells originate from the ventral mesencephalon of an 8 week old human, female fetus. They exhibit the same characteristics as MESC2.10 cells. LUHMES cells can be differentiated into morphologically and biochemically mature dopamine-like neurons following exposure to tetracycline, GDNF (glial cell line-derived neurotrophic factor), and db- cAMP for 6 days. They are usually cultured in a 2D monolayer, but have also been shown to grow into 3D structures (Smirnova et al., 2015, Brull et al., 2020). They can be co-cultured with mouse astrocytes.",High,"The answer provides a comprehensive overview of the biological source system, including the cell line used (LUHMES), its origin, differentiation potential, culture conditions (2D and 3D), and co-culture possibilities. It also specifies the human donor's age and sex, addressing all aspects of the question.","The assay employs LUHMES cells, a human cell line originally derived from the ventral mesencephalon of an 8‐week‐old female fetus. These cells are maintained in culture as a proliferating monoculture and then differentiated into post-mitotic dopaminergic neurons by exposure to tetracycline (to shut down v-myc), GDNF, and db-cAMP over a six-day period. Under differentiation conditions, they typically form a 2D monolayer characterized by extended neurites, though they can also develop into 3D structures. 

(Source: EFSA NAMs Case Study on Tebufenpyrad, Part 2 – Annex A, sections 3.2 and 3.3)",0.8062289329813089,0.43074464797973633,0.38267871737480164,0.408711314201355
"List quantitative and semi-quantitative features that define your cell source/starting cell population. For test methods that are based on differentiation, describe your initial cells, e.g. iPSC, proliferating SH-SY5Y; the differentiated cells are described in section 4. Define cell identity, e.g. by STR signature (where available), karyotype information, sex (where available and relevant), ATCC number, passage number, source (supplier), sub-line (where relevant), source of primary material, purity of the cells, etc. Describe defining biological features you have measured or that are FIRMLY established (use simple listing, limit to max. 0.5 pages), e.g. the cells express specific marker genes, have specific surface antigens, lack certain markers, have or lack a relevant metabolic or transporting capacity, have a doubling time of x hours, etc. Transgenic cell lines have particular requirements concerning the characterization of the genetic manipulation (type of transgene, type of vector, integration/deletion site(s), stability, etc.). Organoids and microphysiological systems (MPS) may need some special/additional considerations as detailed in Pamies et al. (2018) and Marx et al. (2016), e.g. ratio of cell types used, percent of normal cells in tumor spheroids created from resected tissue; derivation of cells for re-aggregating brain cultures."," ATCC number: LUHMES ATCC® CRL-2927™; LUHMES cells used at the University of Konstanz differ from LUHMES cells deposited and distributed by ATCC. The assay described in here is based on UKN (University of Konstanz) LUHMES cells.  Origin: mesencephalon of an 8 week old human fetus, subclone of the tetracycline-controlled, v-myc-overexpressing human mesencephalic-derived cell line MESC2.10. MESC2.10 has been conditionally immortalized with a LINX v-myc retroviral vector with a tet-off system.  Gender: female  Morphology: upon differentiation, cells form neuronal network, see figure below  Doubling time: approx. 14 -20 h (depending on passage)  Phenotype: Dopaminergic (DA)-phenotype; tyrosine hydroxylase (TH) expression depends on the presence of cAMP in the culture medium. Under differentiation conditions, cells extend neurites after 24h. They display extensive growth cones, but synapse formation is not clear. After 6 days of differentiation, cells express voltage-dependent ion channels and show electrical activity.  Expression: Cells express α-synuclein (Parkinson’s disease) (Schildknecht et al., 2013), all standard synaptic proteins and all proteins required for AD (Alzheimer’s disease) pathology (Aβ- formation, Tau hyperphosphorylation)(Scholz et al., 2013; Scholz et al., 2018). Conversion of proliferating LUHMES cells into post-mitotic neurons. LUHMES were grown and differentiated either on glass cover slips or in multi-well plates. Cells were either fixed for microscopy or lysed for RNA extraction at different stages between day 0 and day 10 (d0–d10). (a) Schematic representation of the 2-step differentiation procedure, initiated by the absence of the cytokine basic fibroblast growth factor (bFGF) and addition of tetracycline. Unless mentioned otherwise, dibutyryl cAMP (cAMP) and glial cell derived neurotrophic factor (GDNF) were present throughout the differentiation. (b) Representative scanning electron microscopy (SEM) images of undifferentiated (d0) and differentiated (d5) LUHMES with marked squares shown at higher magnification. (c) LUHMES were immunostained on d0 and d5 for bIII-tubulin and nuclei were labeled by DNA staining with H-33341 dye. The mRNA expression levels of bIII-tubulin, Fox-3/NeuN and cyclin-dependent kinase 1 (CDK1) were determined after different days of maturation by RT-qPCR. (d) The proliferative status of d0 and d5 cells was quantified by immunostaining of Ki-67, H3S10P and Fox-3/NeuN. It is indicated as percentage of positive nuclei relative to all nuclei, as identified by DNA staining with H-33342. Quantitative data are expressed as means ± SEM from three independent differentiations. Scholz et al., 2011",High,"The answer provides a comprehensive and detailed description of the cell source and starting cell population, including ATCC number, origin, gender, morphology, doubling time, phenotype, and expression characteristics. It also includes information on the differentiation process and relevant biological features, such as marker expression and cellular behavior. The inclusion of references and quantitative data further supports the completeness and relevance of the response.","Below is a concise list of features defining the starting (source) LUHMES cell population, as described in the MitoStressLUHMESassay (MSL) document:

• Origin and Species:  
 – Derived from the ventral mesencephalon of an 8‐week‐old human female fetus.  
  _(Source: MitoStressLUHMESassay(MSL).pdf)_

• Cell Line Identity and Characterization:  
 – ATCC number: LUHMES ATCC® CRL-2927™ (with the note that the cells used at the University of Konstanz are a distinct sub-line compared to ATCC‐distributed cells).  
 – STR (Short Tandem Repeat) signature is provided, including loci such as D5S818, D13S317, and others, ensuring identity and purity.  
  _(Source: MitoStressLUHMESassay(MSL).pdf)_

• Culture and Passage Information:  
 – Cells are continuously generated via cell culture; working stock cells are used only up to passage 18, while cells in experiments may be cultured until passages 20–25.  
  _(Source: MitoStressLUHMESassay(MSL).pdf)_

• Growth and Morphology:  
 – Doubling time is approximately 14–20 hours (depending on passage number).  
 – Cells should exhibit an oval morphology, show limited aggregation (<10% cell death is acceptable), and must be pathogen‐free based on regular mycoplasma testing and visual inspection.  
  _(Source: MitoStressLUHMESassay(MSL).pdf)_

• Differentiation Capability (for downstream tests):  
 – Although the assay uses proliferating LUHMES cells as the starting population, these cells are known to readily differentiate into post-mitotic, dopamine-like neurons when exposed to differentiation factors (e.g., tetracycline, GDNF, db-cAMP over 6 days).  
  _(Source: MitoStressLUHMESassay(MSL).pdf)_

• Additional Defining Markers and Features:  
 – Being of dopaminergic phenotype, the cells express markers such as tyrosine hydroxylase (TH) in presence of cAMP and also express α-synuclein, along with standard synaptic proteins.  
  _(Source: MitoStressLUHMESassay(MSL).pdf)_

This structured listing captures the quantitative (e.g. doubling time, passage numbers, percentage cell death) and semi-quantitative (e.g. STR profile, morphology, differentiation status, specific marker expression) aspects defining the initial LUHMES cell source used in the assay.",0.8161571957495577,0.1594029664993286,0.16393698751926422,0.16503335535526276
"Describe the acceptance criteria (AC) for your initial cells (i.e. the quality criteria for your proliferating cell line, tissue for isolation, organism, etc.). Which specifications do you consider to describe the material, which quality control criteria have to be fulfilled (e.g. pathogen-free)? Which functional parameters (e.g. certain biological responses to reference substances) are important? For iPSC maintenance: How do you control pluripotency? How stable are your cells over several passages? Which passage(s) are valid? For primary cells: Show stability and identity of supply; demonstrate stability of function (e.g. xenobiotic metabolism). Quantitative definitions for AC should be given based on this defining information. Exclusion criteria (features to be absent) are also important. As in 3.3., special/additional requirements apply to genetically-modified cells and microphysiological systems.","The cells have to be pathogen-free to be used in further experiments (regular testing for mycoplasma after thawing). Cells of the working stock are checked for marker gene expression once the stock is created, but not every thawed cell batch is checked. There only visual inspection is done. The cells should be of oval morphology, and should not form extensive aggregates and clustering. Approx. 5- 10% of cell death (dead cells floating in flask) is considered normal, increased cell death one passage after thawing justifies to discard of the cell batch. The culture medium should not be yellow. Proliferating cells from working stock batches should only be used up to passage 18.",Medium,"The answer partially addresses the question by mentioning some acceptance criteria such as pathogen-free status, morphology, and passage limits. However, it lacks clarity and completeness in several areas: it does not specify quantitative definitions for acceptance criteria, does not address pluripotency control for iPSCs, stability over passages, or exclusion criteria. Additionally, it does not cover special requirements for genetically-modified cells or microphysiological systems.","The initial proliferating LUHMES cells must meet clearly defined quality criteria. For example, the working stock cells must be pathogen‐free (with routine mycoplasma testing performed after thawing) and are initially checked for marker gene expression when the stock is created. Once in use, each thawed batch undergoes visual inspection—cells should display an oval morphology without excessive aggregation or clustering, and the culture medium must appear normal (i.e. not yellow). In addition, about 5–10% cell death (i.e. some dead cells floating) is considered acceptable, but a marked increase in cell death upon passaging (typically after thawing) is a cause for batch discard. Only proliferating cells from working stocks up to passage 18 are used. No quantitative functional parameters (e.g. responses to reference compounds) are required at this stage; rather, the focus is on structural integrity and viability before any compound exposure. 

(Source: EFSA NAMs Case Study on Tebufenpyrad, Part 2 – Annex A)",0.7916128274362291,0.5179797410964966,0.30561110377311707,0.4066055417060852
